"sales_order_number","customer_id","order_date","shipping_method","terms","web_order","subtotal","total","order_weight","first_order_month","months_since_first_order"
31107,"M030-MORGO",2023-07-28,"MWS-T","NET45",FALSE,517.77,517.77,0,2023-01-01,6
31111,"S038-STLKI",2023-07-28,"MWS-T","NET60",FALSE,2418.97,2418.97,0,2023-01-01,6
31112,"S038-STLKI",2023-07-28,"MWS-T","NET60",FALSE,467.65,467.65,0,2023-01-01,6
31113,"S038-STLKI",2023-07-28,"CST-D","NET60",FALSE,2493,2493,0,2023-01-01,6
31114,"H026-HUSSM",2023-07-28,"CST-D","NET30",FALSE,13073.55,13073.55,0,2023-01-01,6
31124,"F022-F&D",2023-07-31,"CPICK",NA,FALSE,20,20,0,2023-01-01,6
31156,"M030-MORGO",2023-08-01,"MWS-T","NET45",FALSE,6944.38,6944.38,0,2023-01-01,7
31157,"M030-MORGO",2023-08-01,"MWS-T","NET45",FALSE,840.74,840.74,0,2023-01-01,7
31159,"M030-MORGO",2023-08-01,"MWS-T","NET45",FALSE,3257.04,3257.04,0,2023-01-01,7
31162,"F022-F&D",2023-08-02,"CPICK",NA,FALSE,41776.6,41776.6,0,2023-01-01,7
31163,"M030-MORGO",2023-08-02,"MWS-T","NET45",FALSE,3151.12,3151.12,0,2023-01-01,7
31164,"M030-MORGO",2023-08-02,"MWS-T","NET45",FALSE,2707.58,2707.58,0,2023-01-01,7
31165,"M030-MORGO",2023-08-02,"MWS-T","NET45",FALSE,2833.36,2833.36,0,2023-01-01,7
31109,"M030-MORGO",2023-07-28,"MWS-T","NET45",FALSE,3289,3289,0,2023-01-01,6
31110,"M030-MORGO",2023-07-28,"MWS-T","NET45",FALSE,27756.5,27756.5,0,2023-01-01,6
